Season,Points,Money_gbp
2020-2021,23,55152128.66603595
2020-2021,24,57550047.30368969
2020-2021,25,59947965.94134342
2020-2021,26,62345884.57899716
2020-2021,27,64743803.216650896
2020-2021,28,67141721.85430463
2020-2021,29,69539640.49195836
2020-2021,30,71937559.1296121
2020-2021,31,74335477.76726584
2020-2021,32,76733396.40491958
2020-2021,33,79131315.04257332
2020-2021,34,81529233.68022706
2020-2021,35,83927152.3178808
2020-2021,36,86325070.95553453
2020-2021,37,88722989.59318827
2020-2021,38,91120908.230842
2020-2021,39,93518826.86849573
2020-2021,40,95916745.50614947
2020-2021,41,98314664.14380321
2020-2021,42,100712582.78145695
2020-2021,43,103110501.41911069
2020-2021,44,105508420.05676442
2020-2021,45,107906338.69441816
2020-2021,46,110304257.3320719
2020-2021,47,112702175.96972564
2020-2021,48,115100094.60737938
2020-2021,49,117498013.2450331
2020-2021,50,119895931.88268684
2020-2021,51,122293850.52034058
2020-2021,52,124691769.15799432
2020-2021,53,127089687.79564805
2020-2021,54,129487606.43330179
2020-2021,55,131885525.07095553
2020-2021,56,134283443.70860925
2020-2021,57,136681362.346263
2020-2021,58,139079280.98391673
2020-2021,59,141477199.62157047
2020-2021,60,143875118.2592242
2020-2021,61,146273036.89687794
2020-2021,62,148670955.53453168
2020-2021,63,151068874.17218542
2020-2021,64,153466792.80983916
2020-2021,65,155864711.4474929
2020-2021,66,158262630.08514664
2020-2021,67,160660548.72280037
2020-2021,68,163058467.3604541
2020-2021,69,165456385.99810785
2020-2021,70,167854304.6357616
2020-2021,71,170252223.27341533
2020-2021,72,172650141.91106907
2020-2021,73,175048060.5487228
2020-2021,74,177445979.18637654
2020-2021,75,179843897.82403025
2020-2021,76,182241816.461684
2020-2021,77,184639735.09933773
2020-2021,78,187037653.73699147
2020-2021,79,189435572.3746452
2020-2021,80,191833491.01229894
2020-2021,81,194231409.64995268
2020-2021,82,196629328.28760642
2020-2021,83,199027246.92526016
2020-2021,84,201425165.5629139
2020-2021,85,203823084.20056763
2020-2021,86,206221002.83822137
