Team,n_seasons,total_points_lost,avg_points_lost,total_gbp_lost,avg_gbp_lost
Chelsea,6,32.681887314681134,5.446981219113522,83619870.07757512,13936645.012929186
Brighton,6,32.052114638231906,5.342019106371985,81657618.67305186,13609603.11217531
Liverpool,6,29.98049399201733,4.996748998669555,75545800.20447686,12590966.700746143
Man United,6,29.632461723453282,4.938743620575547,75314947.12382731,12552491.18730455
Arsenal,6,29.69875358413215,4.949792264022025,75264898.74178639,12544149.790297732
Aston Villa,6,25.804106769248747,4.300684461541458,65946668.41227184,10991111.402045308
Tottenham,6,25.588658222042433,4.264776370340406,65516704.88151599,10919450.813585998
Newcastle,6,25.572085256872715,4.262014209478786,64806512.95335661,10801085.492226101
Man City,6,25.340063744496682,4.223343957416113,64381514.75114524,10730252.458524207
Everton,6,23.616475366846156,3.9360792278076926,59461587.47622864,9910264.57937144
Wolves,6,22.058616640892794,3.6764361068154656,55704675.07180021,9284112.511966702
Leicester,5,19.04233698000437,3.808467396000874,47928692.91005874,9585738.582011748
Brentford,4,17.51762418439045,4.379406046097612,45860156.64991714,11465039.162479285
Crystal Palace,6,17.583916045069312,2.930652674178219,44787873.26838285,7464645.544730474
Southampton,5,15.611733189873037,3.1223466379746077,39209141.7814928,7841828.35629856
Bournemouth,4,15.06482533927239,3.7662063348180976,38989414.267804876,9747353.566951219
Burnley,4,14.103593359428828,3.525898339857207,35109199.06355621,8777299.765889052
Fulham,4,13.722415160525344,3.430603790131336,34884616.63349312,8721154.15837328
West Ham,6,10.938157012012956,1.823026168668826,27696774.429629993,4616129.071604999
Leeds,3,11.269616315407289,3.7565387718024295,27530809.79437659,9176936.59812553
Nott'm Forest,3,10.126081718696843,3.375360572898948,26266111.465124026,8755370.488374675
Sheffield Utd,3,6.728623858904941,2.2428746196349802,16681081.559265252,5560360.519755084
Watford,2,5.933121530758543,2.9665607653792714,14824658.399186384,7412329.199593192
Norwich,2,5.866829670079676,2.933414835039838,14660229.736222457,7330114.868111229
Ipswich,1,4.09352239692,4.09352239692,11078705.887213478,11078705.887213478
Luton,1,3.6626253025073687,3.6626253025073687,9699568.751698297,9699568.751698297
West Brom,1,2.204204367572308,2.204204367572308,5209084.90580241,5209084.90580241
