term,coef,std_err,t_value,p_value
C(Season)[T.2020-2021],0.017883176043321278,0.06861460613784427,0.26063220427724415,0.794376152354641
C(Season)[T.2021-2022],0.0021667775160099483,0.048652522996265574,0.04453576880640422,0.9644773408663467
C(Season)[T.2022-2023],-0.026933940489004334,0.07609098497264023,-0.3539701910638806,0.7233612229084705
C(Season)[T.2023-2024],-0.009468597861860262,0.07271757477664953,-0.1302105837679936,0.8963998212356391
C(Team)[T.Aston Villa],-0.009276766067040119,0.00577913845092583,-1.6052160967962208,0.1084462562230728
C(Team)[T.Bournemouth],-0.10000683837680449,0.01760163061981751,-5.681680324788076,1.3337778657109566e-08
C(Team)[T.Brentford],-0.06316040440388633,0.020673461892691515,-3.055144064972244,0.0022495243791618154
C(Team)[T.Brighton],-0.1849700087722756,3.302364829005051e-05,-5601.137922365896,0.0
C(Team)[T.Burnley],-0.13650099561937176,0.01509386615989686,-9.043474625609408,1.5176924097624743e-19
C(Team)[T.Chelsea],-0.2852028111871652,0.003599577663717424,-79.2322982948575,0.0
C(Team)[T.Crystal Palace],-0.06206092116034782,0.020936993016494584,-2.964175472163313,0.0030349517270548266
C(Team)[T.Everton],-0.17956101972582433,0.007760557348385728,-23.13764484495109,1.9360017754585972e-118
C(Team)[T.Fulham],-0.11696986776778104,0.0258405939411927,-4.526593623737047,5.994204959839118e-06
C(Team)[T.Leeds],-0.21482903479381937,0.019098325742355805,-11.248579466700411,2.3535189625253257e-29
C(Team)[T.Leicester],-0.1443154111158759,0.016077693107759715,-8.976126745834184,2.804662587001194e-19
C(Team)[T.Liverpool],-0.03793142530639386,0.005118665485103215,-7.410413010341307,1.2590668670674934e-13
C(Team)[T.Luton],-0.25904880972049527,0.037403792011405625,-6.925736557445911,4.337129209977201e-12
C(Team)[T.Man City],-0.14413334450711054,0.009774999894136419,-14.745099342003025,3.3083262950363562e-49
C(Team)[T.Man United],-0.05659602639498228,0.0027739864564430426,-20.40241626397585,1.5915383555196778e-92
C(Team)[T.Newcastle],0.06561019666025722,0.0053498310231427535,12.263975511831132,1.4138922002431245e-34
C(Team)[T.Norwich],-0.43416314487573227,0.031175619088648764,-13.926368026282876,4.380724897122451e-44
C(Team)[T.Nott'm Forest],-0.12893231093078816,0.0313598725475712,-4.111378665050534,3.9330354777904514e-05
C(Team)[T.Sheffield Utd],-0.2958321136770119,0.0287297613471304,-10.297061298302792,7.264671431963692e-25
C(Team)[T.Southampton],-0.2577641166134918,0.021864352548035402,-11.789240776610736,4.435211704355089e-32
C(Team)[T.Tottenham],-0.1034087985599091,0.009378716114644454,-11.025901338290941,2.8663255251237126e-28
C(Team)[T.Watford],-0.4253191430524826,0.031050556749598755,-13.69763339454384,1.0488754767775176e-42
C(Team)[T.West Brom],-0.36194758939927585,0.05316696473958231,-6.80775348324162,9.913454157814495e-12
C(Team)[T.West Ham],-0.13280281766457913,0.031372465876449276,-4.233101031572776,2.304908961193194e-05
C(Team)[T.Wolves],-0.11104591691701057,0.015124830917278094,-7.341960880379528,2.1048692523177012e-13
Intercept,0.24300799671891643,0.06044145564117416,4.020551691567362,5.8062006794771994e-05
injured_players,-0.016572965169716666,0.006274493175289732,-2.6413233239274962,0.008258286670676969
