Season,Team,n_matches,avg_injured_players,points_lost_due_to_injuries,gbp_per_point,gbp_lost_due_to_injuries,rank_in_season_by_gbp_lost
2023-2024,Chelsea,38,12.13157894736842,7.640136943239352,2648255.8139534886,20233037.07933445,1.0
2023-2024,Aston Villa,38,11.210526315789474,7.060083162299272,2648255.8139534886,18696906.281554177,2.0
2023-2024,Man United,38,10.078947368421051,6.3474456600014575,2648255.8139534886,16809659.872852698,3.0
2023-2024,Liverpool,38,9.0,5.667954088043078,2648255.8139534886,15010192.366881523,4.0
2023-2024,Brentford,38,8.657894736842104,5.4525055408367615,2648255.8139534886,14439629.499134565,5.0
2023-2024,Tottenham,38,8.526315789473685,5.369640714988178,2648255.8139534886,14220182.24230881,6.0
2023-2024,Brighton,38,8.5,5.353067749818462,2648255.8139534886,14176292.79094366,7.0
2023-2024,Arsenal,38,8.31578947368421,5.237056993630445,2648255.8139534886,13869066.631387604,8.0
2023-2024,Newcastle,38,7.315789473684211,4.607284317181215,2648255.8139534886,12201267.47951188,9.0
2023-2024,Fulham,38,5.868421052631579,3.695771232846802,2648255.8139534886,9787347.654428596,10.0
